Column1,productname,productsubname,productprice,productactualprice,productrate
72,Bewakoof®,Men's Sun-Kissed Green T-shirt,499,799,4.4
73,bewakoof x minions,Men's Green Heroes Beware Graphic Printed Oversized T-shirt,539,1599,4.5
74,Bewakoof®,Men's Black Roaring Beast Graphic Printed Oversized T-shirt,639,1649,4.4
75,Bewakoof®,Men's Black Customizable Oversized T-shirt,699,1699,0
76,Bewakoof®,Men's Brown All Over Printed Oversized T-shirt,599,1099,4.3
77,bewakoof x marvel,Men's Maroon Dead Pool Jersey Graphic Printed Oversized T-shirt,799,1299,4.3
78,Bewakoof®,Men's Black Ocean Child Graphic Printed Oversized T-shirt,739,1299,4.8
79,Bewakoof®,Men's Grey Eternity Graphic Printed Oversized T-shirt,819,1299,0
80,bewakoof x marvel,Men's White Best Bubs Graphic Printed Oversized T-shirt,599,1699,4.5
81,Bewakoof®,Men's Black Lost Mountains Graphic Printed T-shirt,449,1099,4.6
82,bewakoof x minions,Men's Navy Blue Heroes Are Made Graphic Printed Oversized T-shirt,599,1599,4.5
83,bewakoof x garfield,Men's White & Blue Sports Day Graphic Printed Oversized T-shirt,799,1399,4.4
84,Bewakoof®,Men's Black Dream Graphic Printed Oversized T-shirt,569,1299,0
85,Bewakoof Air® 1.0,Men's Brick Red Oversized T-shirt,529,999,4.5
86,Bewakoof Heavy Duty® 1.0,Men's Team Blue Graphic Printed Oversized T-shirt,620,1549,4.4
87,Bewakoof®,Men's White Dope Play Graphic Printed T-shirt,599,1599,4.5
88,Bewakoof®,Men's Black Know Your Place Fool Graphic Printed T-shirt,399,999,4.4
89,bewakoof x marvel,Men's Blue The King Graphic Printed Oversized T-shirt,599,1299,4.4
90,bewakoof x dc,Men's Black Batman Riddle Graphic Printed T-shirt,399,999,4.5
91,bewakoof x house of the dragon,Men's Brown Fire And Blood Graphic Printed T-shirt,549,1399,4.5
92,bewakoof x dc,Men's Blue Beetle Graphic Printed T-shirt,499,1499,0
93,Bewakoof®,Men's Gardenia & Green Striped Flatknit T-shirt,899,2399,4.4
94,Bewakoof®,Men's Blue T-shirt,449,999,4.4
95,Bewakoof®,Men's Blue Peace Not War Graphic Printed Oversized T-shirt,599,1049,0
96,bewakoof x peanuts,Men's Grey Snoopy Cut & Sew Oversized Acid Wash T-shirt,729,1699,4.5
97,bewakoof x dc,Men's Black Batman Riddle (Bml) Oversized T-shirt,549,1299,4.3
98,Bewakoof®,Men's Black Itachi Moment Graphic Printed Oversized T-shirt,699,949,4.5
99,bewakoof x nasa,Men's Black Universal Astro Graphic Printed Oversized T-shirt,499,1299,0
100,Bewakoof®,Men's Black Iris & Blue Color Block T-shirt,484,1349,4.5
101,Bewakoof®,Men's Blue Trust Your Ability Typography T-shirt,449,1299,4.3
102,Bewakoof®,Men's White Galactic Spectrum Graphic Printed Oversized T-shirt,499,1299,0
103,Bewakoof®,Men's Purple T-shirt,440,899,4.4
104,Bewakoof American Pima,Men's Brown T-shirt,484,1599,0
105,Bewakoof®,Men's Green Oversized T-shirt,499,949,4.5
106,Bewakoof®,Men's Black Good Vibes Typography Oversized T-shirt,699,1299,4.4
107,bewakoof x marvel,Men's Black Logan Graphic Printed Oversized T-shirt,799,1949,4.5
108,bewakoof x peanuts,Men's Green Move On Graphic Printed Oversized T-shirt,549,1499,4.4
109,bewakoof x marvel,Men's Blue Spider Man Graphic Printed Oversized T-shirt,699,1599,4.5
110,bewakoof x nasa,Men's Black NASA Astronaut Graphic Printed Oversized T-shirt,499,1149,4.6
111,Bewakoof®,Men's White Torque Graphic Printed T-shirt,449,1099,4.5
112,Bewakoof Air® 1.0,Men's Grey Weekend plants Graphic Printed Oversized T-shirt,699,1599,4.4
113,Bewakoof®,Men's Black Striped Flatknit T-shirt,869,2199,4.4
114,bewakoof x peanuts,Men's Blue Den Graphic Printed Oversized Shirt,1264,3099,4.5
115,Bewakoof®,Men's Purple Textured Oversized Flatknit T-shirt,849,1899,4.4
116,Bewakoof®,Men's Peach Vibin Graphic Printed Oversized Acid Wash  T-shirt,689,1799,4.5
117,bewakoof x dc,Men's White Dark Knight Graphic Printed Oversized T-shirt,599,1299,4.5
118,Bewakoof®,Men's Black Killmonger Graphic Printed T-shirt,499,999,4.4
119,bewakoof x marvel,Men's Black Venom Graphic Printed Oversized T-shirt,699,1549,4.5
120,Bewakoof®,Men's Black Know Your Place Fool Graphic Printed Oversized T-shirt,499,1299,4.4
121,Bewakoof®,Men's Green Vibin Graphic Printed Oversized Acid Wash T-shirt,689,1799,4.5
122,bewakoof x disney,Men's Black Mickey Trio Call (DL) Graphic Printed T-shirt,484,999,4.5
123,Bewakoof®,Men's Black Warriors Graphic Printed Oversized T-shirt,599,1299,4.3
124,bewakoof x minions,Men's Purple Find Your Inner Minion Graphic Printed T-shirt,499,1199,4.5
125,Bewakoof®,Men's Purple Seek Balance Graphic Printed T-shirt,499,1499,0
126,Bewakoof®,Men's Black Valhalla Graphic Printed Oversized T-shirt,649,949,4.5
127,Bewakoof®,Men's Purple Textured Oversized Flatknit T-shirt,849,1899,4.4
128,Bewakoof®,Men's Red Vibes Graphic Printed T-shirt,599,799,4.5
129,Bewakoof®,Men's Blue Oversized T-shirt,499,999,4.5
130,bewakoof x marvel,Men's Black Galaxy Ship Graphic Printed Oversized T-shirt,599,1549,4.4
131,Bewakoof®,Men's White Vest,399,799,4.4
132,Bewakoof®,Men's White Embrace Chaos Graphic Printed T-shirt,599,1599,4.4
133,Bewakoof®,Men's White Lost in Nowhere Graphic Printed Oversized T-shirt,599,1299,4.4
134,Bewakoof®,Men's Black Muscle Fit T-shirt,387,899,4.4
135,bewakoof x marvel,Men's Blue Moon Knight Graphic Printed Oversized T-shirt,519,1299,4.4
136,Bewakoof Air® 1.0,Men's Skipper Blue Oversized T-shirt,499,999,4.5
137,bewakoof x marvel,Men's Black T'Challa Graphic Printed Oversized T-shirt,619,1299,4.7
138,Bewakoof®,Men's Black T-shirt,349,999,4.7
139,Bewakoof®,Men's Green Create Good Stories Graphic Printed T-shirt,549,1199,4.4
140,bewakoof x marvel,Men's Navy Blue Marvel Jesus Graphic Printed T-shirt,529,1699,4.5
141,Bewakoof®,Men's Brown Expedition Graphic Printed T-shirt,549,1399,4.5
142,Bewakoof Air® 1.0,Men's Grey Sakura Graphic Printed Oversized T-shirt,699,1599,4.5
143,bewakoof x disney,Men's Popcorn Yellow AOP T-shirt,484,1299,4.5
144,bewakoof x marvel,Men's Black Moon Knight Marvel Graphic Printed Oversized T-shirt,699,1299,4.3
145,bewakoof x dc,Men's Blue Super Fly Graphic Printed Oversized T-shirt,749,1599,4.4
146,bewakoof x marvel,Men's Baby Lavender Aim For Middle Graphic Printed Oversized T-shirt,699,1799,4.5
147,Bewakoof®,Men's Green Fearless Graphic Printed Super Loose Fit T-shirt,599,1399,4.4
148,Bewakoof®,Men's White T-shirt,449,1199,4.4
149,bewakoof x minions,Men's Brown Fakinit Graphic Printed Oversized T-shirt,699,1599,4.5
150,bewakoof x marvel,Men's Pink We Are Venom Graphic Printed Oversized T-shirt,599,1299,5
151,Bewakoof Air® 1.0,Men's Grey Oversized T-shirt,499,899,4.4
152,bewakoof x dc,Men's Red The Batman Graphic Printed Oversized T-shirt,749,1299,0
