Column1,productname,productsubname,productprice,productactualprice
1079,Solids: Black,Polos,899,899
1080,Minions: Strange,T-Shirts,599,599
1081,Solids: Pearl Grey,Oversized Polos,899,899
1082,Solids: Black,Hooded T-Shirts,999,999
1083,Solids: Rosewood,T-Shirts,499,499
1084,Harry Potter: Hogwarts,Oversized Polos,999,999
1085,Supima: Cool Classics (Pack of 3),Supima T-Shirts,2847,2997
1086,Deadpool: Great Irresponsibility,Oversized T-Shirts,999,999
1087,Supima: Earthen Ensemble (Pack of 3),Supima T-Shirts,2847,2997
1088,Ed Sheeran: Concert Tee,Oversized T-Shirts,999,999
1089,Supima: Spiced Hues (Pack of 3),Supima T-Shirts,2847,2997
1090,Supima: Fiesta (Pack of 2),Supima T-Shirts,1898,1998
1091,Supima: Monochrome (Pack of 2),Supima T-Shirts,1898,1998
1092,Supima: Serene Splash (Pack of 2),Supima T-Shirts,1898,1998
1093,Men Mystery T-Shirt,Men Mystery Products,399,399
1094,TSS Originals: Made By Humans,Oversized T-Shirts,1499,1499
1095,Solids: Mauve,Oversized Full Sleeve T-Shirts,999,999
1096,TSS Originals: The Anniversary Edition,Oversized T-Shirts,1299,1299
1097,Looney Tunes: Fitness,T-Shirts,399,699
1098,Black Panther: Wakanda Forever,Oversized Jerseys,799,999
1099,Stranger Things: The Hellfire Club,Men Full Sleeve T-Shirts,499,799
1100,Spider-Man: Web Crawler,Drop Cut T-Shirts,499,799
1101,TSS Originals: Varsity Originals,Men Rugby Polos,949,1199
1102,Batman: 3D Logo (Full Sleeve),Men Full Sleeve T-Shirts,599,899
1103,Naruto: Uchiha 23,Oversized Jerseys,799,999
1104,Solids Mandarin Polo: Navy Blue,Mandarin Polos,699,999
1105,Solids: Dark Purple,Mandarin Polos,699,999
1106,Batman: 39,Oversized Jerseys,799,999
1107,Rick And Morty: Pounders,T-Shirts,499,699
1108,Dexter: Allergic To Idiots,T-Shirts,499,699
1109,Iron Man: Tony Stark (Mandarin Polo),Mandarin Polos,799,999
1110,Superman: Logo,Oversized Jerseys,799,999
1111,Looney Tunes: Play It Again,Oversized T-Shirts,1299,1299
1112,TSS Originals: Explore The Unseen,Oversized T-Shirts,999,999
1113,Mens Oversized Mystery T-Shirt,Men Mystery Products,599,599
1114,Tom & Jerry: Striped,Oversized Full Sleeve T-Shirts,999,999
1115,Dungeons & Dragons: Dice Give & Take,Oversized T-Shirts,999,999
1116,Spider-Man No Way Home: Logo,T-Shirts,549,549
1117,Solids: Black,Oversized Full Sleeve T-Shirts,999,999
1118,Black Panther: Loyalty,Drop Cut T-Shirts,749,749
1119,Solids: Olive Camo,Drop Cut T-Shirts,699,699
1120,"Minions: Saturday, Sunday, Monday",T-Shirts,599,599
1121,Solids: Denim Blue,Hooded T-Shirts,1199,1199
1122,Solid: Orange,Jerseys,399,399
1123,Marvel: Deadpool x Wolverine,Oversized T-Shirts,1199,1199
1124,Avatar: Aang And Appa,Oversized Full Sleeve T-Shirts,999,999
1125,Deadpool: No More Calm,Oversized T-Shirts,1499,1499
1126,Spider-Man: Midnight,Oversized T-Shirts,1399,1399
1127,Solids Slub: Navy Blue,T-Shirts,499,499
1128,FCB: Matchday,Oversized T-Shirts,1299,1299
1129,House Of Dragon: Tear,Oversized T-Shirts,999,999
1130,TSS Originals: Drip,Oversized T-Shirts,1499,1499
1131,Spider-Man: Spider Sense,Oversized Polos,999,999
1132,One Piece: Pirate Tales,Oversized T-Shirts,999,999
1133,Solids: Winter Grey Melange,T-Shirts,499,499
1134,FCB: Camp Nou,Oversized T-Shirts,999,999
1135,Naturally High,T-Shirts,449,449
1136,Too Lazy,T-Shirts,449,449
1137,Peanuts: Good Grief,T-Shirts,749,749
1138,The Office: A Little Stitious,T-Shirts,599,599
1139,Spider-Man: The Suit,Oversized Jerseys,799,799
1140,"Solids: Red, Black, and White (Colourblock)",Oversized Full Sleeve T-Shirts,999,999
1141,Peanuts: Snoopy 50,Oversized T-Shirts,999,999
1142,TSS Originals: Comfortable Delusion,T-Shirts,549,549
1143,Solids: Pearl Grey,Henley T-Shirts,599,599
