Column1,productname,productsubname,productprice,productactualprice
279,Samurai Jack: Blade Of Honor,Oversized Full Sleeve T-Shirts,999,999
280,Classic Sustainable Tee: Airforce Blue,T-Shirts,599,599
281,Supima: Soft Pink,Supima T-Shirts,999,999
282,Dungeons & Dragons: Fighters Club,Men Rugby Polos,1299,1299
283,Money Heist: Master Mind Berlin,Oversized T-Shirts,599,999
284,Marvel: Wakanda Forever Colourblock,T-Shirts,699,699
285,TSS Originals: Canton,Oversized T-Shirts,899,899
286,Solids: Navy Blue,T-Shirts,319,599
287,TSS Originals: Cinnabar,Oversized Polos,699,999
288,Kung Fu Panda: Not Interested,Oversized Full Sleeve T-Shirts,999,999
289,Jurassic Park: Prehistoric Paradise (Vintage Wash),Oversized T-Shirts,1049,1049
290,Solids: Sage Green,T-Shirts,399,699
291,Naruto: Itachi Uchiha,T-Shirts,749,749
292,Dungeons & Dragons: Dungeon Master,T-Shirts,399,699
293,Classic Sustainable Tee: Emerald Green,T-Shirts,599,599
294,Harry Potter: Slytherin Rugby Set,Hooded T-Shirts,1499,1499
295,Peanuts: Old School,T-Shirts,649,649
296,Rick & Morty: Done with this Universe,Oversized T-Shirts,999,999
297,House of the Dragon: Caraxes,Hooded T-Shirts,1399,1399
298,Disney: Jungle Book Baloo,T-Shirts,549,699
299,Justice League: Comic Time,T-Shirts,849,849
300,TSS Originals: 2013,Oversized T-Shirts,1299,1299
301,Captain America: The Super Soldier,Oversized Full Sleeve T-Shirts,799,799
302,Spider-Man: Amazing Spiderman,Oversized T-Shirts,699,999
303,Solids: Nude Pink,Hooded T-Shirts,649,1199
304,Ant-Man: Kang The Conqueror,Oversized T-Shirts,549,999
305,Naruto: Kakashi Hatake,Men Rugby Polos,1049,1049
306,The Boys: Never Meet Your Heroes,Oversized T-Shirts,699,999
307,Solids: Dark Olive Green,Oversized Polos,1299,1299
308,Naruto: Kakashi,Hooded T-Shirts,799,999
309,Seinfeld: Faces,T-Shirts,549,699
310,Solids: Pale Purple,Oversized Full Sleeve T-Shirts,799,1199
311,Black Panther: Graphic Logo,T-Shirts,649,649
312,Jersey T-Shirt: White,Jerseys,366,366
313,Solids: Berry,Oversized Full Sleeve T-Shirts,999,999
314,House Of The Dragon: Logo,T-Shirts,649,649
315,Solids: Ash Grey,Oversized T-Shirts,799,799
316,Avatar: Zuko,Oversized T-Shirts,899,899
317,Batman: Kick Of Vengence,Oversized T-Shirts,749,999
318,Solids: Serene Green,T-Shirts,499,699
319,TSS Originals: Peace,Oversized T-Shirts,1049,1049
320,Truck Art: Looney Tunes,Oversized T-Shirts,1049,1049
321,TMNT: Ninjas,Oversized T-Shirts,749,999
322,Star Wars: Dark Lord,Oversized T-Shirts,1049,1049
323,Ed Sheeran: Bad Habits,Oversized T-Shirts,699,949
324,TSS Originals: High As Hell,Oversized T-Shirts,699,699
325,Solids: Berry (Utility),Oversized T-Shirts,899,899
326,Looney Tunes: Magic Mushroom,Oversized T-Shirts,1299,1299
327,TSS Originals: Break Free Turtle,Oversized T-Shirts,999,999
328,Solids: White,Mandarin Polos,899,899
329,Garfield: Cool Cat,Oversized T-Shirts,999,999
330,TSS Originals: Radiant,Oversized Full Sleeve T-Shirts,999,999
331,Scooby Doo: Mystery Club,Oversized T-Shirts,999,999
332,Tarot: Batman,Oversized Full Sleeve T-Shirts,999,999
333,Batman: Paisley,Oversized Full Sleeve T-Shirts,999,999
334,Hulk: Time To Smash (Vintage Wash),Oversized T-Shirts,999,999
335,Felix The Cat: Vibin',T-Shirts,599,599
336,Justice League: Legendary (Utility),Oversized T-Shirts,849,849
337,The Boys: Don't Be A C*nt,Oversized T-Shirts,999,999
338,Joker: Certified Insane,Oversized T-Shirts,999,999
339,FCB: Mes Que Un Club,T-Shirts,749,749
340,Marvel: Logo,Oversized T-Shirts,1049,1049
341,Justice League: Classic Logo,Men Relaxed Fit T-Shirts,499,499
342,Aquaman: King of Atlantis,Hooded T-Shirts,949,1199
343,Solids: Blue,Jerseys,249,499
344,Naruto: Yellow Flash,Oversized T-Shirts,999,999
345,Solids: Airy Blue,Oversized T-Shirts,699,999
346,Breaking Bad: Science B*tch,Oversized T-Shirts,899,899
347,Iron-Man: Graffiti,Oversized Full Sleeve T-Shirts,999,999
348,Solids: Sunshine Yellow,Henley T-Shirts,599,599
349,Tom And Jerry: Cheese The Day,T-Shirts,849,849
350,Transformers: Optimus Prime,Oversized T-Shirts,599,999
351,Captain America: Comic Time,T-Shirts,549,549
352,Avatar: The Way,Oversized T-Shirts,899,899
353,Lion King: Hakuna Matata,Oversized T-Shirts,1299,1299
354,Cars: Lightning McQueen,Oversized T-Shirts,1049,1049
355,Black Panther: The Mask,Mandarin Polos,1049,1049
356,Rebel Moon: Galactic,Oversized T-Shirts,999,999
357,House Of The Dragon: Logo,Men Relaxed Fit T-Shirts,649,649
358,That's What She Said,T-Shirts,799,799
359,Stripes: Timeless Noir,Oversized Polos,999,999
360,Naruto: Uchiha Brothers,Oversized T-Shirts,1299,1299
361,Rick And Morty: Adventure,T-Shirts,899,899
362,The Mandalorian: This Is The Way,Oversized Full Sleeve T-Shirts,799,1199
363,Solids: Burnt Sienna Brown,T-Shirts,799,799
364,Deadpool: Newest Badass,T-Shirts,799,799
365,TSS Originals: Pocket,Oversized T-Shirts,1499,1499
366,Garfield: Lazy AF,T-Shirts,649,649
367,Solids: Denim Blue Colourblock,Oversized Polos,749,999
368,TSS Originals: Purple,Oversized T-Shirts,1549,1549
369,Naruto: Uzumaki 10,Oversized Jerseys,799,999
370,Breaking Bad: Walter & Jesse,Oversized T-Shirts,1049,1049
371,Star Wars: The Mandalorian,Hooded T-Shirts,1049,1049
372,ISRO: Chandrayaan 3,Oversized T-Shirts,599,999
373,Pink Panther: Hard Life,Oversized T-Shirts,599,999
374,Iron Man: Logo (Colourblock),Zipper Polos,1049,1049
375,Dungeons & Dragons: Roll,T-Shirts,349,699
376,Solids: Persian Pink,Mandarin Polos,799,999
377,Popeye: Fight Time,T-Shirts,799,799
378,Superman: Fighting Crime,Oversized Polos,799,799
379,TSS Originals: ASAP,T-Shirts,649,649
380,Garfield: Clingy,Oversized T-Shirts,999,999
381,Star Wars: Mandalorian,Oversized T-Shirts,799,999
382,TSS Originals: Emotional Support,Oversized T-Shirts,699,999
383,Spider-Man: Saving The Spider-Verse,Hooded T-Shirts,1499,1499
384,Squid Game: Let's Play,Oversized T-Shirts,1049,1049
385,TSS Originals: Unleash The Dragon,Oversized T-Shirts,899,899
386,Peanuts: Favorite Dog,T-Shirts,799,799
387,Solids: Apricot,Polos,649,999
388,Solids: Sailor,Polos,1049,1049
389,TSS Originals: Positivi-Tea,T-Shirts,699,699
390,Garfield: Smile,Oversized T-Shirts,1049,1049
391,The Office: Michael Scott,Oversized T-Shirts,1299,1299
392,TSS Originals: Real Life Story,Oversized T-Shirts,1399,1399
393,Solids: Dusty Peach,Mandarin Polos,899,899
394,Solids: Warm Grey,T-Shirts,799,799
395,Peanuts: Keepin It Cool,Oversized T-Shirts,1049,1049
396,Avengers: Suit,Zipper Polos,1399,1399
397,TSS Originals: Delhi,Oversized T-Shirts,799,999
398,Solids: Red,T-Shirts,399,399
399,TMNT: Rebel,Oversized T-Shirts,899,899
400,Truck Art: Spider-Man,Oversized T-Shirts,699,999
401,Daffy Duck: Prankster,Oversized T-Shirts,999,999
402,Star Wars: Dark Side,Oversized T-Shirts,1049,1049
403,One Piece: Luffy The Pirate King,Oversized T-Shirts,749,999
404,TSS Originals: Cyber Vigilante,Oversized T-Shirts,999,999
405,Marvel: Venom,Oversized T-Shirts,1049,1049
406,Naruto: Gaara Vs Lee,Oversized T-Shirts,849,849
407,Black Panther: Wakanda Tribe,Oversized T-Shirts,1049,1049
408,Batman: Supervillain,Oversized T-Shirts,1049,1049
409,Solids: White,Oversized Full Sleeve T-Shirts,999,999
410,Spider-Man: Across The Spider-Verse,Oversized Full Sleeve T-Shirts,799,799
411,Solids: Tangerine,Polos,799,999
412,Solids: Emerald Green,Polos,1049,1049
413,Venom: The Symbiote,T-Shirts,699,699
414,Mickey Mouse: Smarty Pants,Oversized T-Shirts,699,999
415,Star Trek: Live Long and Prosper,Oversized T-Shirts,749,999
416,Spaced Out,Oversized T-Shirts,549,999
417,TSS Originals: Foodie,T-Shirts,499,699
418,Deadpool: Merc 91,Hooded T-Shirts,1299,1299
419,Transformers: Bumblebee,Oversized Full Sleeve T-Shirts,999,999
420,TSS Originals: Wild Lime,Men Rugby Polos,749,1199
421,Harry Potter: Hogwarts Is Home,Oversized T-Shirts,849,849
422,Alien Invasion: Street Punk,Oversized T-Shirts,699,999
423,Naruto: Anbu Black Ops,Oversized T-Shirts,1049,1049
424,Minions: I Don't Care,Oversized T-Shirts,1049,1049
425,Solids: Fresh Pink,T-Shirts,449,699
426,TSS Originals: OGs Forever,Oversized Full Sleeve T-Shirts,999,1199
427,Batman: Hero Run,T-Shirts,749,749
428,Ombre: Midnight Blue,Oversized Full Sleeve T-Shirts,999,999
429,Star Wars: Shadows Of The Empire,Oversized Full Sleeve T-Shirts,999,999
430,Solids: Light Lavender,Oversized T-Shirts,749,999
431,Solids: Pearl Grey,T-Shirts,599,599
432,Disney: Goofy,Oversized T-Shirts,1049,1049
433,TSS Originals: Coral Sands,Oversized Full Sleeve T-Shirts,999,999
434,Monopoly: Hustlin',Oversized T-Shirts,999,999
435,Seinfeld: A Show About Nothing,T-Shirts,499,699
436,Kung Fu Panda: Skadoosh,Oversized T-Shirts,1299,1299
437,Captain America: Super Soldier,Oversized Polos,1299,1299
438,Color Block: Cayenne,Oversized Polos,999,999
439,Johnny Bravo: King Of Waves,T-Shirts,549,549
440,Solids: Light Blue & Brown,Oversized Polos,999,999
441,Spider-Man: The Web,T-Shirts,799,799
442,F.R.I.E.N.D.S: I'll Be There For You,T-Shirts,799,799
443,House Of Dragon: Fire Made Flesh,Oversized T-Shirts,999,999
444,Black Panther: The Warrior,Oversized Full Sleeve T-Shirts,999,999
445,Solids: Sage Green,Oversized Full Sleeve T-Shirts,999,1199
446,Solids: Midnight Black,T-Shirts,599,599
447,Breaking Bad: Danger,Hooded T-Shirts,1299,1299
448,Solids: Pink & Navy,Oversized Polos,899,899
449,Disney: Buzz Lightyear,Oversized Full Sleeve T-Shirts,799,799
450,Classic Sustainable Tee: Indigo Bliss,T-Shirts,599,599
451,Naruto: Akatsuki,Oversized T-Shirts,999,999
452,Superman: Done Being Super,Hooded T-Shirts,1299,1299
453,Batman: The Caped Crusader (Glow In The Dark),T-Shirts,999,999
454,One Piece: Most Wanted,Oversized T-Shirts,1049,1049
455,Ed Sheeran: Mathematics Tour,T-Shirts,849,849
456,Solids: Olive Grove,Polos,1049,1049
457,Peanuts: Chillin,Oversized T-Shirts,899,899
458,TSS Originals: Vada Pav,Oversized T-Shirts,899,899
459,Batman: Logo (Vintage Wash),Oversized T-Shirts,1299,1299
460,Harry Potter: Hogwarts Is Home,Oversized Full Sleeve T-Shirts,999,999
461,"Ed, Edd n Eddy: Chaotic Bros",Oversized T-Shirts,1049,1049
462,Naruto: Drunken Fist,Oversized T-Shirts,899,899
463,House of the Dragon: Dragons Did,Oversized T-Shirts,1049,1049
464,Solids: Pale Purple,Oversized T-Shirts,1049,1049
465,Courage: Pattern,T-Shirts,549,549
466,Black Panther: Wakanda Forever,Oversized Full Sleeve T-Shirts,799,799
467,Tarot: Superman,Oversized T-Shirts,799,999
468,Squid Game: Red Light Green Light,Oversized T-Shirts,999,999
469,Solids: Pearl Grey,Oversized T-Shirts,949,949
470,Looney Tunes: Daffy in Space Jam,Oversized T-Shirts,699,999
471,Top Gun: Blueprint,Oversized T-Shirts,999,999
472,Deadpool: The Anti-Hero,Men Rugby Polos,1399,1399
473,Naruto: Gaara,Oversized T-Shirts,699,999
474,Solids: Yellow,Polos,699,999
475,Rick & Morty: Escape From Reality,Oversized T-Shirts,1049,1049
476,TSS Originals: Iris,Super Oversized T-Shirts,849,1199
477,TSS Originals: Bluestone,Oversized Full Sleeve T-Shirts,799,799
478,Star Wars: Darth Maul,Oversized T-Shirts,699,999
479,Cartoon Network: Johnny Bravo,Oversized Full Sleeve T-Shirts,799,1199
480,Green Lantern: Logo,T-Shirts,849,849
481,Solids: Lavender,T-Shirts,449,699
482,Squid Game: Logo,T-Shirts,649,649
483,Solids: Dark Purple,Oversized T-Shirts,949,949
484,Top Gun: Classic,Oversized Polos,1399,1399
485,TSS Originals: Astral,Hooded T-Shirts,699,999
486,Brooklyn Nine-Nine: Human Genius,Oversized T-Shirts,799,999
487,Solids: Serene Sky,T-Shirts,399,599
488,Solids: Navy,Mandarin Polos,1049,1049
489,Solids: Sage Green,Mandarin Polos,999,999
490,Spider-Man: 2099,Drop Cut T-Shirts,599,799
491,The Flash: 99,Oversized Jerseys,799,799
492,TSS Originals: Tangelo,Men Rugby Polos,1299,1299
493,TSS Originals: Retro Gamer,Oversized T-Shirts,799,999
494,The Flash: Lightning Bolt,T-Shirts,649,649
495,Dungeons & Dragons: Displacer Beast,Oversized T-Shirts,599,999
496,Garfield: Attitude,Oversized Full Sleeve T-Shirts,799,1199
497,Mickey Mouse: Fly Away,Oversized T-Shirts,899,899
498,Dungeons & Dragons: Mindflayer,Oversized Full Sleeve T-Shirts,849,1199
499,House of the Dragon: Caraxes,Oversized T-Shirts,999,999
500,Loki: Master of Mischief,Oversized T-Shirts,849,849
501,Solids: Pastel Blue,Oversized Polos,1299,1299
502,TSS Originals: Wisteria,Oversized Full Sleeve T-Shirts,849,1199
503,Thor: For Asgard,Oversized Full Sleeve T-Shirts,899,899
504,Popeye: Thinking Hat,Hooded T-Shirts,999,999
505,Spider-Man: Webtastic,Men Rugby Polos,1049,1049
506,Breaking Bad: Let's Cook,Oversized T-Shirts,699,999
507,Money Heist: Berlin,T-Shirts,549,699
508,TBBT: Bazinga,Oversized T-Shirts,999,999
509,Stranger Things: California '86,Oversized T-Shirts,699,999
510,Solids: Arctic,Hooded T-Shirts,799,1399
511,Breaking Bad: Jesse and Walter,Oversized T-Shirts,1299,1299
512,Batman: The Cowl,Oversized T-Shirts,1049,1049
513,Star Wars: Darth Vader,Oversized Full Sleeve T-Shirts,799,799
514,Scooby Doo: Jeebiesville,Oversized T-Shirts,599,999
515,Marvel: Avengers Assemble,Oversized Full Sleeve T-Shirts,999,999
516,Star Trek: The Universe,Oversized Polos,749,999
517,Donald Duck: Caution,Oversized T-Shirts,1299,1299
518,Naruto: Gaara,Oversized Full Sleeve T-Shirts,999,1199
519,Disney: Quack Hard,Oversized T-Shirts,999,999
520,Color Block: Mist Green,Oversized Polos,999,999
521,Naruto: Ichiraku Ramen,Oversized T-Shirts,699,999
522,Shazam: Billy Batson,Oversized T-Shirts,699,999
523,Chandrayaan 3: Journey To The Moon,Oversized T-Shirts,799,999
524,TSS Originals: Malachite,Super Oversized T-Shirts,849,1199
525,Garfield: Hangry,Oversized T-Shirts,999,999
526,TSS Originals: At The Beach,Oversized T-Shirts,1049,1049
527,Solids: Nude Pink,Oversized T-Shirts,749,999
528,Manchester City: Champions 2023,T-Shirts,549,699
529,Scooby Doo: Scooby Love,Oversized Full Sleeve T-Shirts,999,999
530,Disney: Carpenheimer,Oversized T-Shirts,1049,1049
531,Fighter: SU 30,T-Shirts,799,799
532,TSS Originals: Claret,Oversized Full Sleeve T-Shirts,799,799
533,TSS Originals: Relaksa,Oversized T-Shirts,749,999
534,Supima: Teal,Supima T-Shirts,999,999
535,The Godfather: The Don,Oversized T-Shirts,1049,1049
536,TSS Originals: Good Vibes,Oversized T-Shirts,899,899
537,BGMI: Vintage,Oversized T-Shirts,699,999
538,TSS Originals: Paani Puri,Oversized T-Shirts,699,999
539,Solids: Light Grey,Mandarin Polos,799,999
540,TSS Originals: Samurai,Oversized T-Shirts,699,999
541,Superman: Classic,Oversized T-Shirts,1299,1299
542,Courage: Mondays!,Oversized T-Shirts,699,999
543,Solids: Sage Green,T-Shirts,399,599
544,Solids: Ochre,Polos,899,899
545,Solids: Jade Green & Navy Blue Colourblock,Oversized Polos,749,999
546,SpongeBob: Life's Sweet,Oversized T-Shirts,999,999
547,Disney: Fearless Sher Khan,Oversized T-Shirts,849,849
548,Solids: Frost Blue,T-Shirts,549,699
549,Star Wars: Boba Fett,T-Shirts,599,599
550,TSS Originals: Out Of Office,Oversized T-Shirts,899,899
551,Pennywise: Time To Float,Oversized T-Shirts,1299,1299
552,Enter The Dragon: Bruce Lee,Oversized T-Shirts,799,999
553,Naruto: Hokage,Oversized Full Sleeve T-Shirts,999,1259
554,Top Gun: Talk To Me Goose,T-Shirts,799,799
555,Peanuts: Snoopy,Oversized Polos,1299,1299
556,Spider-Man: Beyond Amazing,Oversized Full Sleeve T-Shirts,949,1199
557,Classic Sustainable Tee: Beige,T-Shirts,599,599
558,Spider-Man: Web Wonder,Oversized T-Shirts,1049,1049
559,TSS Originals: Retro Gamer,Oversized Full Sleeve T-Shirts,799,1199
560,TSS Originals: Slayer,Oversized T-Shirts,1049,1049
561,Seinfeld: Logo,T-Shirts,699,699
562,Supima: Deep Purple,Supima T-Shirts,999,999
563,Tarot: Doctor Strange,Zipper Polos,1299,1299
564,Peanuts: Snoopy Chillin,Polos,849,849
565,Avengers: Quantum,T-Shirts,699,699
566,Solids: Midnight Black,Mandarin Polos,999,999
567,Solids: Ocean Blue Colourblock,Oversized Polos,1049,1049
568,Colourblock: Teal Blaze,Oversized Full Sleeve T-Shirts,649,1199
569,TSS Originals: Cutting Chai,Oversized T-Shirts,599,999
570,TSS Originals: Mann Ki Shanti,Oversized T-Shirts,599,999
571,Black Panther: Logo (Colourblock),Zipper Polos,1299,1299
572,Solids: Burgundy Wine,T-Shirts,299,699
573,TMNT: Booyashaka,Oversized T-Shirts,949,949
574,Captain America: Super Soldier,Oversized Jerseys,999,999
575,TSS Originals: Trippin' Good,Oversized T-Shirts,999,999
576,Daffy Duck: Chillin Villain,Oversized T-Shirts,1049,1049
577,Solids: Zen Blue,Mandarin Polos,799,999
578,Thor: Varsity,T-Shirts,599,599
579,FCB: Logo,T-Shirts,799,799
580,Solids: Black,Henley T-Shirts,799,799
581,TSS Originals: Solid Black,Hooded T-Shirts,899,899
582,ISRO: Logo,T-Shirts,549,549
583,Solids: Electric Blue,Henley T-Shirts,599,599
584,Superman: Iconic Emblem,T-Shirts,799,799
585,Looney Tunes: Endless Vacation,Oversized T-Shirts,649,999
586,Spider-Man: Punk,Oversized T-Shirts,649,999
587,Stranger Things: Hellfire Club,Oversized Full Sleeve T-Shirts,999,999
588,TSS Originals: Race Red,Oversized Full Sleeve T-Shirts,999,1199
589,Looney Tunes: The Daffy Sketch,Oversized T-Shirts,899,899
590,Money Heist: We Are The Resistance,Oversized T-Shirts,949,949
591,TSS Originals: Puzzle,Oversized T-Shirts,1799,1799
592,Batman: Bat Signal Tie Dye,Oversized T-Shirts,1299,1299
593,Solids: Dark Olive,Mandarin Polos,899,899
594,Monopoly: Make It Rain,Oversized T-Shirts,949,949
595,ISRO: Lunar Mission,T-Shirts,849,849
596,Supima: Airy Blue,Supima T-Shirts,999,999
597,Rick And Morty: Portal Boyz,Oversized T-Shirts,549,999
598,Solids: Airy Blue,T-Shirts,399,599
599,Truck Art: Batman,Oversized T-Shirts,749,999
600,Solids: Pink,Oversized Polos,699,999
601,TSS Originals: Wanderer,Oversized T-Shirts,699,999
602,The Flintstones: Yabba Dabba Doo,Oversized T-Shirts,999,999
603,TMNT: The Shred,Oversized T-Shirts,899,899
604,Courage: Living Rent-Free,T-Shirts,799,799
605,Peanuts: Snoop,T-Shirts,799,799
606,Rick And Morty: Escape,Oversized Full Sleeve T-Shirts,799,1199
607,FRIENDS: Yellow Frame,T-Shirts,799,799
608,Phantom: Ghost That Walks,Hooded T-Shirts,699,1199
609,Deadpool: Logo,Oversized Polos,1049,1049
610,Solids: Mystery Black,Mandarin Polos,649,999
611,Popeye: Powerhouse,Hooded T-Shirts,1049,1049
612,Solids: Kelly Green,Oversized Full Sleeve T-Shirts,999,1299
613,Dungeons & Dragons: Monsters & Treasure,Hooded T-Shirts,1499,1499
614,Batman: Symbol,Oversized Full Sleeve T-Shirts,799,799
615,Breaking Bad: La Tortuga,Oversized T-Shirts,749,999
616,Solids: Electric Blue,Oversized Full Sleeve T-Shirts,999,999
617,DC: Justice League,Hooded T-Shirts,699,1199
618,Dungeons & Dragons: Behold,Oversized Full Sleeve T-Shirts,799,1199
619,Marvel: The Incredible Hulk,Oversized Full Sleeve T-Shirts,699,1199
620,Solids: Desert Rose,Mandarin Polos,999,999
621,TSS Originals: Melting Away,Oversized T-Shirts,899,899
622,Courage: Face,Oversized T-Shirts,699,999
623,Harry Potter: Deathly Hallows,Oversized T-Shirts,999,999
624,Solids: Off-White,Oversized Polos,1299,1299
625,Batman: The Dark Knight,T-Shirts,899,899
626,Solids: Brick Red,Oversized Polos,949,949
627,Spider-Man: The Suit,Drop Cut T-Shirts,899,899
628,TSS Originals: Cosmos Legend,Oversized Full Sleeve T-Shirts,699,1199
629,TSS Originals: No Social Battery,Oversized T-Shirts,999,999
630,Solids: Peppermint Green,Oversized T-Shirts,699,999
631,Scooby Doo: Meddling Kids (Oversized),Oversized Full Sleeve T-Shirts,649,1199
632,TSS Originals: Drip Check,Oversized Full Sleeve T-Shirts,799,1199
633,TSS Originals: Indie Red,Zipper Polos,1199,1199
634,SpongeBob: Unrecognized Talent,T-Shirts,549,699
635,Moon Knight: Fist Of Vengeance,Oversized T-Shirts,599,999
636,Star Wars: Darth Vader,T-Shirts,849,849
637,Moon Knight: Graphic,Oversized T-Shirts,599,999
638,Supima: Burgundy,Supima Full Sleeve Henley T-Shirts,699,999
639,Superman: Man Of Steel,Oversized Full Sleeve T-Shirts,799,1199
640,TSS Originals: No F**ks To Give,T-Shirts,399,699
641,Spider-Man: Crime Fighter,Oversized T-Shirts,1049,1049
642,The Boys: Only Man In The Sky,Oversized T-Shirts,1049,1049
643,Seinfeld: Festivus For All Of Us,T-Shirts,349,699
644,Looney Tunes: Crazy Bugs,Oversized Full Sleeve T-Shirts,999,999
645,Rick and Morty: C-137,Hooded T-Shirts,899,1199
646,Batman: Gotham's Saviour,Oversized T-Shirts,1049,1049
647,The Boys: Daddy's Home,Oversized T-Shirts,1049,1049
648,Tom & Jerry: Sticky Situation,Oversized T-Shirts,999,999
649,WB: Mad Max,Oversized Full Sleeve T-Shirts,799,799
650,Stranger Things: Hellfire Club,Oversized T-Shirts,1299,1299
651,Supima: Apple Mint,Supima T-Shirts,799,799
652,Joker: Put On A Happy Face,Oversized T-Shirts,599,999
653,Solids: Black,Hooded T-Shirts,699,1199
654,Pink Panther: Peace,T-Shirts,699,699
655,Rick And Morty: Morty's World,Oversized Full Sleeve T-Shirts,799,1199
656,TSS Originals: My Anxiety Got Me Racing,T-Shirts,349,699
657,Rick And Morty: Aw Geez,Oversized T-Shirts,699,999
658,The Mandalorian: Grogu,Oversized T-Shirts,649,999
659,Black Panther: For T'Challa,Drop Cut T-Shirts,899,899
660,"Solids: Watermelon, White and Pink (Colourblock)",Oversized Polos,999,999
661,ISRO: At The Moon,Oversized T-Shirts,599,999
662,Thor: Worthy,Mandarin Polos,849,849
663,Black Panther: Wakanda Pride (Solar Activated),T-Shirts,699,699
664,TSS Originals: Red Block,Oversized Polos,999,999
665,Black Panther: Long Live The King,Oversized Full Sleeve T-Shirts,799,1199
666,Marvel: Comic Strip,T-Shirts,599,599
667,Black Panther: The Pride,T-Shirts,549,699
668,Star Wars: Rule The Galaxy,Oversized T-Shirts,699,999
669,Captain America: Shield,Performance Jerseys,649,899
670,TSS Originals: Embroidered,Oversized T-Shirts,1299,1299
671,Looney Tunes: Swish Shot,Oversized T-Shirts,949,949
672,Courage: Oops,Oversized T-Shirts,949,949
673,Solids: Lavender,Mandarin Polos,899,899
674,Spider-Man: Scarlett Spider,Zipper Polos,1199,1199
675,Spider-Man: Across The Spider-Verse,Oversized T-Shirts,699,999
676,TSS Originals: Warrior,Oversized T-Shirts,849,849
677,TMNT: Never Cross A Ninja,Oversized T-Shirts,699,999
678,The Smurfs: Smurf off!,Oversized T-Shirts,1049,1049
679,Solids: Mint Green,Hooded T-Shirts,849,849
680,Solids: Rhubarb,Polos,949,949
681,TSS Originals: Kalahari,Oversized T-Shirts,949,949
682,TSS Originals: Caffeine Zombies,Oversized T-Shirts,499,999
683,TSS Originals: Spray Paint,Oversized T-Shirts,1599,1599
684,Solids: Navy Blue,Oversized T-Shirts,749,999
685,Solids: Peach & Black (Utility),Oversized T-Shirts,999,999
686,Thor: Feel The Thunder,Oversized T-Shirts,749,999
687,Star Wars: Dark Lord,T-Shirts,449,699
688,Deadpool: Maximum Effort,Oversized Full Sleeve T-Shirts,1299,1299
689,Black Panther: Loyalty (Glow In The Dark),T-Shirts,699,699
690,Popeye: Comic Strip,Oversized T-Shirts,1049,1049
691,Marvel: Magneto,Oversized T-Shirts,649,999
692,Doctor Strange: Tao Mandalas (Glow In The Dark),Oversized T-Shirts,1049,1049
693,Seinfeld: Jerk Store,T-Shirts,699,699
694,Solids: Winter Mauve,Oversized T-Shirts,749,999
695,Rick And Morty: Flying Solo,T-Shirts,399,699
696,TSS Originals: Blue Breeze,Oversized T-Shirts,649,999
697,Harry Potter: Gryffindor 07,Hooded T-Shirts,849,1199
698,Solid: Powder Blue,Hooded T-Shirts,699,1199
699,Avengers: Logo,Polos,949,949
700,Batman: Surf's Up,T-Shirts,449,699
701,Looney Tunes: Daffy Dunk,Oversized Full Sleeve T-Shirts,799,799
702,Truck Art: Captain America,Oversized T-Shirts,549,999
703,GOTG: The Crew,Oversized T-Shirts,999,999
704,The Wizard Of Oz: The Escape,Oversized T-Shirts,649,999
705,Solids: Lavender,Oversized Polos,999,999
706,Punisher: Logo,T-Shirts,699,699
707,Solids: Pista Green,Oversized T-Shirts,499,999
708,Courage: YIKES,Oversized Full Sleeve T-Shirts,799,799
709,Harry Potter: Enter The Looney Tunes,Men Rugby Polos,1499,1499
710,Solids: Navy,Oversized Full Sleeve T-Shirts,999,999
711,TSS Originals: Carmine,Oversized Polos,749,999
712,Looney Tunes: Ralph Wolf,T-Shirts,799,799
713,Donald Duck: Quackster,Oversized T-Shirts,1049,1049
714,Supima: Mineral Red,Supima T-Shirts,799,999
715,Batman: Gotham City,Oversized Full Sleeve T-Shirts,999,999
716,Solids: Sky,Oversized T-Shirts,549,999
717,"Colourblock: Yellow, Light Purple",Oversized T-Shirts,649,999
718,Superman: Logo (3D),Oversized T-Shirts,1049,1049
719,House Of Dragon: Kingdom Map,Oversized T-Shirts,999,999
720,Doctor Strange: Master Of Mystic Arts,Oversized T-Shirts,599,999
721,SpongeBob: Dang!,T-Shirts,549,549
722,Solids: Light Grey,Henley T-Shirts,599,799
723,Justice League: Dawn Of Justice,Oversized Full Sleeve T-Shirts,799,799
724,Marvel: Kang Conqueror,Oversized Full Sleeve T-Shirts,799,1199
725,Popeye: Spinach Powered,T-Shirts,699,699
726,TMNT: Brotherhood,Men Rugby Polos,999,999
727,SpongeBob: Ok Boomer,Oversized T-Shirts,699,999
728,Solids: Tropical Colourblock,Oversized Polos,949,949
729,Spider-Man: Thwip,Hooded T-Shirts,999,999
730,TMNT: Leonardo,Oversized T-Shirts,649,999
731,Solids: Spring Bud Green,Oversized T-Shirts,699,999
732,Supima: Baltic Sea,Supima T-Shirts,999,999
733,Looney Tunes: Bugs Pattern,Oversized Full Sleeve T-Shirts,649,1199
734,Wanderlust,Oversized T-Shirts,899,899
735,Thor: Hammer,Oversized T-Shirts,649,999
736,Rebel Moon: Logo,T-Shirts,649,649
737,Rick & Morty: Painful Existence,Oversized T-Shirts,899,899
738,Transformers: Optimus,T-Shirts,499,699
739,TMNT: Turtle Power,T-Shirts,699,699
